,Movie Name,Year of Release,Runtime,Genre,Movie Rating,Metascore of Movie,Votes,Gross,Description
482,Brazil,1985,132 ,"Drama, Sci-Fi",7.9,84,205269,$9.93M,A bureaucrat in a dystopic society becomes an enemy of the state as he pursues the woman of his dreams.
483,Flipped,2010,90 ,"Comedy, Drama, Romance",7.7,45,93549,$1.75M,Two eighth-graders start to have feelings for each other despite being total opposites.
484,A Fistful of Dollars,1964,99 ,"Action, Drama, Western",7.9,65,223538,$14.50M,"A wandering gunfighter plays two rival families against each other in a town torn apart by greed, pride, and revenge."
485,The Secret in Their Eyes,2009,129 ,"Drama, Mystery, Romance",8.2,80,214241,$6.39M,A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.
486,Dirty Harry,1971,102 ,"Action, Crime, Thriller",7.7,87,161846,$35.90M,"When a man calling himself ""the Scorpio Killer"" menaces San Francisco, tough-as-nails Police Inspector ""Dirty"" Harry Callahan is assigned to track down the crazed psychopath."
487,The Elephant Man,1980,124 ,"Biography, Drama",8.2,78,248048,#156,"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication."
488,When Harry Met Sally...,1989,95 ,"Comedy, Drama, Romance",7.7,76,228582,$92.82M,"Harry and Sally have known each other for years, and are very good friends, but they fear sex would ruin the friendship."
489,A Silent Voice: The Movie,2016,130 ,"Animation, Drama",8.1,78,89866,,"A young man is ostracized by his classmates after he bullies a deaf girl to the point where she moves away. Years later, he sets off on a path for redemption."
490,Spartacus,1960,197 ,"Adventure, Biography, Drama",7.9,87,138588,$30.00M,"The slave Spartacus survives brutal training as a gladiator and leads a violent revolt against the decadent Roman Republic, as the ambitious Crassus seeks to gain power by crushing the uprising."
491,Glory,1989,122 ,"Biography, Drama, History",7.8,78,138910,$26.83M,"Robert Gould Shaw leads the U.S. Civil War's first all-black volunteer company, fighting prejudices from both his own Union Army, and the Confederates."
492,The Ten Commandments,1956,220 ,"Adventure, Drama, Family",7.9,0,74400,$93.74M,"Moses, raised as a prince of Egypt in the Pharaoh's household, learns of his true heritage as a Hebrew and his divine mission as the deliverer of his people from slavery."
493,Ghost in the Shell,1995,83 ,"Animation, Action, Crime",7.9,76,148593,$0.52M,A cyborg policewoman and her partner hunt a mysterious and powerful hacker called the Puppet Master.
494,The Wrestler,2008,109 ,"Drama, Sport, Thriller",7.9,80,313047,$26.24M,"A faded professional wrestler must retire, but finds his quest for a new life outside the ring a dispiriting struggle."
495,Serpico,1973,130 ,"Biography, Crime, Drama",7.7,81,128207,$29.80M,An honest New York cop named Frank Serpico blows the whistle on rampant corruption in the force only to have his comrades turn against him.
496,End of Watch,2012,109 ,"Action, Adventure, Crime",7.6,68,256861,$41.00M,"Shot documentary-style, this film follows the daily grind of two young police officers in LA who are partners and friends and what happens when they meet criminal forces greater than themselves."
497,Das Boot,1981,149 ,"Drama, War",8.4,86,255742,$11.49M,A German U-boat stalks the frigid waters of the North Atlantic as its young crew experience the sheer terror and claustrophobic life of a submariner in World War II.
498,Fried Green Tomatoes,1991,130 ,Drama,7.7,64,77980,$82.42M,A housewife who is unhappy with her life befriends an old lady at a nursing home and is enthralled by the tales she tells of people she used to know.
499,The Man from Earth,2007,87 ,"Drama, Fantasy, Mystery",7.9,0,192669,,An impromptu goodbye party for Professor John Oldman becomes a mysterious interrogation after the retiring scholar reveals to his colleagues he has a longer and stranger past than they can imagine.
500,Hunt for the Wilderpeople,2016,101 ,"Adventure, Comedy, Drama",7.8,81,135259,$5.20M,A national manhunt is ordered for a rebellious kid and his foster uncle who go missing in the wild New Zealand bush.
501,Enter the Dragon,1973,102 ,"Action, Crime, Drama",7.6,83,107800,$25.00M,A Shaolin martial artist travels to an island fortress to spy on an opium lord - who is also a former monk from his temple - under the guise of attending a fighting tournament.
502,Chungking Express,1994,102 ,"Comedy, Crime, Drama",8.0,78,88042,$0.60M,"Two melancholy Hong Kong policemen fall in love: one with a mysterious female underworld figure, the other with a beautiful and ethereal waitress at a late-night restaurant he frequents."
503,Naked,1993,131 ,"Comedy, Drama",7.7,85,41545,$1.77M,An unemployed Mancunian vents his rage on unsuspecting strangers as he embarks on a nocturnal London odyssey.
504,Walk the Line,2005,136 ,"Biography, Drama, Music",7.8,72,257451,$119.52M,"A chronicle of country music legend Johnny Cash's life, from his early days on an Arkansas cotton farm to his rise to fame with Sun Records in Memphis, where he recorded alongside Elvis Presley, Jerry Lee Lewis, and Carl Perkins."
505,Kiki's Delivery Service,1989,103 ,"Animation, Family, Fantasy",7.8,85,152026,,"A young witch, on her mandatory year of independent life, finds fitting into a new community difficult while she supports herself by running an air courier service."
506,Goldfinger,1964,110 ,"Action, Adventure, Thriller",7.7,87,195772,$51.08M,"While investigating a gold magnate's smuggling, James Bond uncovers a plot to contaminate the Fort Knox gold reserve."
507,Ponyo,2008,101 ,"Animation, Adventure, Comedy",7.6,86,151017,$15.09M,"A five-year-old boy develops a relationship with Ponyo, a young goldfish princess who longs to become a human after falling in love with him."
508,Singin' in the Rain,1952,103 ,"Comedy, Musical, Romance",8.3,99,249079,$8.82M,A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.
509,Snow White and the Seven Dwarfs,1937,83 ,"Animation, Adventure, Family",7.6,96,206124,$184.93M,"Exiled into the dangerous forest by her wicked stepmother, a princess is rescued by seven dwarf miners who make her part of their household."
510,Donnie Brasco,1997,127 ,"Biography, Crime, Drama",7.7,76,317058,$41.91M,"An FBI undercover agent infiltrates the mob and finds himself identifying more with the mafia life, at the expense of his regular one."
511,The King of Comedy,1982,109 ,"Comedy, Crime, Drama",7.8,73,109551,$2.50M,"Rupert Pupkin is a passionate yet unsuccessful comic who craves nothing more than to be in the spotlight and to achieve this, he stalks and kidnaps his idol to take the spotlight for himself."
512,Philadelphia,1993,125 ,Drama,7.7,66,248888,$77.32M,"When a man with HIV is fired by his law firm because of his condition, he hires a homophobic small time lawyer as the only willing advocate for a wrongful dismissal suit."
513,Sound of Metal,2019,120 ,"Drama, Music",7.7,82,137139,,A heavy-metal drummer's life is thrown into freefall when he begins to lose his hearing.
514,Straight Outta Compton,2015,147 ,"Biography, Drama, History",7.8,72,209246,$161.20M,"The rap group NWA emerges from the mean streets of Compton in Los Angeles, California, in the mid-1980s and revolutionizes Hip Hop culture with their music and tales about life in the hood."
515,Adaptation.,2002,115 ,"Comedy, Drama",7.7,83,197195,$22.25M,A lovelorn screenwriter becomes desperate as he tries and fails to adapt 'The Orchid Thief' by Susan Orlean for the screen.
516,Rebel Without a Cause,1955,111 ,Drama,7.6,89,94049,,"A rebellious young man with a troubled past comes to a new town, finding friends and enemies."
517,I Am Sam,2001,132 ,Drama,7.6,28,152463,$40.31M,A mentally handicapped man fights for custody of his 7-year-old daughter and in the process teaches his cold-hearted lawyer the value of love and family.
518,Before Sunset,2004,80 ,"Drama, Romance",8.1,90,274094,$5.82M,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour."
519,The Fall,2006,117 ,"Adventure, Drama, Fantasy",7.8,64,114334,$2.28M,"In a hospital on the outskirts of 1920s Los Angeles, an injured stuntman begins to tell a fellow patient, a little girl with a broken arm, a fantastic story of five mythical heroes. Thanks to his fractured state of mind and her vivid imagination, the line between fiction and reality blurs as the tale advances."
520,Lion,2016,118 ,"Biography, Drama",8.0,69,242708,$51.74M,"A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family."
521,The Conversation,1974,113 ,"Drama, Mystery, Thriller",7.8,87,115904,$4.42M,"A paranoid, secretive surveillance expert has a crisis of conscience when he suspects that the couple he is spying on will be murdered."
522,Paddington 2,2017,103 ,"Adventure, Comedy, Family",7.8,88,85060,$40.44M,"Paddington, now happily settled with the Brown family and a popular member of the local community, picks up a series of odd jobs to buy the perfect present for his Aunt Lucy's 100th birthday, only for the gift to be stolen."
523,Being John Malkovich,1999,113 ,"Comedy, Drama, Fantasy",7.7,90,344094,$22.86M,A puppeteer discovers a portal that leads literally into the head of movie star John Malkovich.
524,Nosferatu,1922,94 ,"Fantasy, Horror",7.9,0,100818,,Vampire Count Orlok expresses interest in a new residence and real estate agent Hutter's wife.
525,Dark Waters,2019,126 ,"Biography, Drama, History",7.6,73,93804,,A corporate defense attorney takes on an environmental lawsuit against a chemical company that exposes a lengthy history of pollution.
526,Network,1976,121 ,Drama,8.1,83,163582,#222,"A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit, but finds that his message may be difficult to control."
527,The Seventh Seal,1957,96 ,"Drama, Fantasy",8.1,88,189983,#205,"A knight returning to Sweden after the Crusades seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague."
528,The Theory of Everything,2014,123 ,"Biography, Drama, Romance",7.7,71,463950,$35.89M,A look at the relationship between the famous physicist Stephen Hawking and his wife.
529,Ran,1985,162 ,"Action, Drama, War",8.2,97,129246,$4.14M,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him."
530,How to Train Your Dragon 2,2014,102 ,"Animation, Action, Adventure",7.8,77,347850,$177.00M,"When Hiccup and Toothless discover an ice cave that is home to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends find themselves at the center of a battle to protect the peace."
531,Tumbbad,2018,104 ,"Drama, Fantasy, Horror",8.2,0,53096,,A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born.
532,Sling Blade,1996,135 ,Drama,8.0,84,96158,$24.48M,"Karl Childers, a simple man hospitalized since his childhood murder of his mother and her lover, is released to start a new life in a small town."
533,Glengarry Glen Ross,1992,100 ,"Crime, Drama, Mystery",7.7,82,110365,$10.73M,An examination of the machinations behind the scenes at a real estate office.
534,Bound by Honor,1993,180 ,"Crime, Drama",7.9,47,32673,$4.50M,"Based on the true life experiences of poet Jimmy Santiago Baca, the film focuses on step-brothers Paco and Cruz, and their bi-racial cousin Miklo."
535,The Night of the Hunter,1955,92 ,"Crime, Drama, Film-Noir",8.0,97,92404,$0.65M,"A religious fanatic marries a gullible widow whose young children are reluctant to tell him where their real daddy hid the $10,000 he'd stolen in a robbery."
536,Fiddler on the Roof,1971,181 ,"Drama, Family, Musical",8.0,67,45488,$80.50M,"In pre-revolutionary Russia, a Jewish peasant with traditional values contends with marrying off three of his daughters with modern romantic ideals while growing anti-Semitic sentiment threatens his village."
537,Annie Hall,1977,93 ,"Comedy, Romance",8.0,92,270441,$39.20M,"Alvy Singer, a divorced Jewish comedian, reflects on his relationship with ex-lover Annie Hall, an aspiring nightclub singer, which ended abruptly just like his previous marriages."
538,The Girl with the Dragon Tattoo,2009,152 ,"Crime, Drama, Mystery",7.8,76,219637,$10.10M,A journalist is aided by a young female hacker in his search for the killer of a woman who has been dead for forty years.
539,Die Hard with a Vengeance,1995,128 ,"Action, Adventure, Thriller",7.6,58,396072,$100.01M,"John McClane and a Harlem store owner are targeted by German terrorist Simon in New York City, where he plans to rob the Federal Reserve Building."
540,The Remains of the Day,1993,134 ,"Drama, Romance",7.8,86,78616,$22.95M,A butler who sacrificed body and soul to service in the years leading up to World War II realizes too late how misguided his loyalty was to his lordly employer.
541,Star Trek II: The Wrath of Khan,1982,113 ,"Action, Adventure, Sci-Fi",7.7,68,125270,$78.91M,"With the assistance of the Enterprise crew, Admiral Kirk must stop an old nemesis, Khan Noonien Singh, from using the life-generating Genesis Device as the ultimate weapon."
542,The Nightmare Before Christmas,1993,76 ,"Animation, Family, Fantasy",7.9,82,351764,$75.08M,"Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion."
543,3 Idiots,2009,170 ,"Comedy, Drama",8.4,67,411082,$6.53M,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots""."
544,Match Point,2005,124 ,"Drama, Romance, Thriller",7.6,72,222519,$23.09M,"At a turning point in his life, a former tennis pro falls for an actress who happens to be dating his friend and soon-to-be brother-in-law."
545,The Bridge on the River Kwai,1957,161 ,"Adventure, Drama, War",8.1,87,225745,$44.91M,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid through the jungle to destroy it."
546,This Is England,2006,101 ,"Crime, Drama",7.7,86,125087,$0.33M,"A young boy becomes friends with a gang of skinheads. Friends soon become like family, and relationships will be pushed to the very limit."
547,The Insider,1999,157 ,"Biography, Drama, Thriller",7.8,84,175024,$28.97M,A research chemist comes under personal and professional attack when he decides to appear in a 60 Minutes exposé on Big Tobacco.
548,The Best Offer,2013,131 ,"Crime, Drama, Mystery",7.8,49,123429,$0.09M,A lonely art expert working for a mysterious and reclusive heiress finds not only her art worth examining.
549,Doctor Zhivago,1965,197 ,"Drama, Romance, War",7.9,69,79395,$111.72M,"The life of a Russian physician and poet who, although married to another, falls in love with a political activist's wife and experiences hardship during World War I and then the October Revolution."
550,Bonnie and Clyde,1967,111 ,"Action, Biography, Crime",7.7,86,116546,,"Bored waitress Bonnie Parker falls in love with an ex-con named Clyde Barrow and together they start a violent crime spree through the country, stealing cars and robbing banks."
551,Solaris,1972,167 ,"Drama, Mystery, Sci-Fi",8.0,93,94517,,A psychologist is sent to a station orbiting a distant planet in order to discover what has caused the crew to go insane.
552,Drishyam 2,2022,140 ,"Crime, Drama, Mystery",8.2,0,37134,,A gripping tale of an investigation and a family which is threatened by it. Will Vijay Salgaonkar be able to protect his family this time?
553,The Name of the Rose,1986,130 ,"Drama, Mystery, Thriller",7.7,54,111945,$7.15M,An intellectually nonconformist friar investigates a series of mysterious deaths in an isolated abbey.
554,Patton,1970,172 ,"Biography, Drama, War",7.9,86,105083,$61.70M,The World War II phase of the career of controversial American general George S. Patton.
555,Castle in the Sky,1986,125 ,"Animation, Adventure, Family",8.0,78,172088,,A young boy and a girl with a magic crystal must race against pirates and foreign agents in a search for a legendary floating castle.
556,The Last Picture Show,1971,118 ,"Drama, Romance",8.0,93,50041,$29.13M,"In 1951, a group of high schoolers come of age in a bleak, isolated, atrophied North Texas town that is slowly dying, both culturally and economically."
557,Witness for the Prosecution,1957,116 ,"Crime, Drama, Mystery",8.4,76,129623,$8.18M,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.
558,A Separation,2011,123 ,Drama,8.3,95,249617,$7.10M,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.
559,The French Connection,1971,104 ,"Action, Crime, Drama",7.7,94,127693,$15.63M,"A pair of NYPD detectives in the Narcotics Bureau stumble onto a heroin smuggling ring based in Marseilles, but stopping them and capturing their leaders proves an elusive goal."
560,M,1931,99 ,"Crime, Mystery, Thriller",8.3,0,161755,$0.03M,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt."
561,Harakiri,1962,133 ,"Action, Drama, Mystery",8.6,85,61058,#46,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity."
562,Sabrina,1954,113 ,"Comedy, Drama, Romance",7.6,72,67505,,"A playboy becomes interested in the daughter of his family's chauffeur, but it's his more serious brother who would be the better man for her."
563,Clerks,1994,92 ,Comedy,7.7,70,227360,$3.15M,"A day in the lives of two convenience clerks named Dante and Randal as they annoy customers, discuss movies, and play hockey on the store roof."
564,The Bridges of Madison County,1995,135 ,"Drama, Romance",7.6,69,85016,$71.52M,Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson for four days in the 1960s.
565,Paths of Glory,1957,88 ,"Drama, War",8.4,90,202321,#61,"After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them."
566,Ray,2004,152 ,"Biography, Drama, Music",7.7,73,152090,$75.33M,"The story of the life and career of the legendary rhythm and blues musician Ray Charles, from his humble beginnings in the South, where he went blind at age seven, to his meteoric rise to stardom during the 1950s and 1960s."
567,Before Midnight,2013,109 ,"Drama, Romance",7.9,94,164580,$8.11M,We meet Jesse and Celine nine years on in Greece. Almost two decades have passed since their first meeting on that train bound for Vienna.
568,The Verdict,1982,129 ,Drama,7.7,77,43023,$54.00M,"An outcast, alcoholic Boston lawyer sees the chance to salvage his career and self-respect by taking a medical malpractice case to trial rather than settling."
569,Charade,1963,113 ,"Comedy, Mystery, Romance",7.9,83,81214,$13.47M,Romance and suspense ensue in Paris as a woman is pursued by several men who want a fortune her murdered husband had stolen. Whom can she trust?
570,Roma,2018,135 ,Drama,7.7,96,163765,,A year in the life of a middle-class family's maid in Mexico City in the early 1970s.
571,A Streetcar Named Desire,1951,122 ,Drama,7.9,97,111204,$8.00M,Disturbed Blanche DuBois moves in with her sister in New Orleans and is tormented by her brutish brother-in-law while her reality crumbles around her.
572,The Raid 2,2014,150 ,"Action, Crime, Thriller",7.9,71,127189,$2.63M,"Only a short time after the first raid, Rama goes undercover with the thugs of Jakarta and plans to bring down the syndicate and uncover the corruption within his police force."
573,The Maltese Falcon,1941,100 ,"Crime, Film-Noir, Mystery",8.0,97,162326,$2.11M,"San Francisco private detective Sam Spade takes on a case that involves him with three eccentric criminals, a gorgeous liar and their quest for a priceless statuette, with the stakes rising after his partner is murdered."
574,The Great Beauty,2013,141 ,Drama,7.7,86,94030,$2.85M,"Jep Gambardella has seduced his way through the lavish nightlife of Rome for decades, but after his 65th birthday and a shock from the past, Jep looks past the nightclubs and parties to find a timeless landscape of absurd, exquisite beauty."
575,Papillon,1973,151 ,"Biography, Crime, Drama",8.0,58,134227,$53.27M,"A French convict in the 1930s befriends a fellow criminal as the two of them begin serving their sentence in the South American penal colony on Devil's Island, which inspires the man to plot his escape."
576,Dawn of the Dead,1978,127 ,"Horror, Thriller",7.8,71,124264,$5.10M,"During an escalating zombie epidemic, two Philadelphia SWAT team members, a traffic reporter and his TV executive girlfriend seek refuge in a secluded shopping mall."
577,Lucky Number Slevin,2006,110 ,"Crime, Drama, Thriller",7.7,53,319103,$22.49M,"A case of mistaken identity lands Slevin into the middle of a war being plotted by two of the city's most rival crime bosses. Under constant surveillance by Detective Brikowski and assassin Goodkat, he must get them before they get him."
578,The Apartment,1960,125 ,"Comedy, Drama, Romance",8.3,94,186693,$18.60M,"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue."
579,Pride,2014,119 ,"Biography, Comedy, Drama",7.8,79,59417,,U.K. gay activists work to help miners during their lengthy strike of the National Union of Mineworkers in the summer of 1984.
580,Hotel Rwanda,2004,121 ,"Biography, Drama, History",8.1,79,362018,$23.53M,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa."
581,On the Waterfront,1954,108 ,"Crime, Drama, Thriller",8.1,91,158582,$9.60M,"An ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses, including his older brother, as he starts to connect with the grieving sister of one of the syndicate's victims."
582,Let the Right One In,2008,114 ,"Drama, Fantasy, Horror",7.9,82,221484,$2.12M,"Oskar, an overlooked and bullied boy, finds love and revenge through Eli, a beautiful but peculiar girl."
583,Mommy,2014,139 ,Drama,8.0,74,59168,$3.49M,"A widowed single mother, raising her violent son alone, finds new hope when a mysterious neighbor inserts herself into their household."
584,Persona,1966,83 ,"Drama, Thriller",8.1,86,123715,#245,A nurse is put in charge of a mute actress and finds that their personae are melding together.
585,Sweet Smell of Success,1957,96 ,"Drama, Film-Noir",8.0,100,33833,,Powerful but unethical Broadway columnist J.J. Hunsecker coerces unscrupulous press agent Sidney Falco into breaking up his sister's romance with a jazz musician.
586,Malcolm X,1992,202 ,"Biography, Drama, History",7.7,73,98218,$48.17M,"Biographical epic of the controversial and influential Black Nationalist leader, from his early life and career as a small-time gangster, to his ministry as a member of the Nation of Islam and his eventual assassination."
587,Roman Holiday,1953,118 ,"Comedy, Romance",8.0,78,142502,,A bored and sheltered princess escapes her guardians and falls in love with an American newsman in Rome.
588,In the Name of the Father,1993,133 ,"Biography, Crime, Drama",8.1,84,179949,$25.01M,A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.
589,Days of Heaven,1978,94 ,"Drama, Romance",7.8,93,60220,,A hot-tempered farm laborer convinces the woman he loves to marry their rich but dying boss so that they can have a claim to his fortune.
590,Amores Perros,2000,154 ,"Drama, Thriller",8.1,83,245507,$5.38M,"A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love."
591,Being There,1979,130 ,"Comedy, Drama",8.0,83,74860,$30.18M,"After the death of his employer forces him out of the only home he's ever known, a simpleminded, sheltered gardener becomes an unlikely trusted advisor to a powerful tycoon and an insider in Washington politics."
592,Hero,2002,120 ,"Action, Adventure, Drama",7.9,85,184483,$53.71M,"A defense officer, Nameless, was summoned by the King of Qin regarding his success of terminating three warriors."
593,Billy Elliot,2000,110 ,"Drama, Music",7.7,74,138480,$22.00M,A talented young boy becomes torn between his unexpected love of dance and the disintegration of his family.
594,The Man Who Shot Liberty Valance,1962,123 ,"Drama, Western",8.1,94,79025,,A senator returns to a Western town for the funeral of an old friend and tells the story of his origins.
595,Kantara,2022,148 ,"Action, Adventure, Drama",8.3,0,95571,,"When greed paves the way for betrayal, scheming and murder, a young tribal reluctantly dons the traditions of his ancestors to seek justice."
596,Night of the Living Dead,1968,96 ,"Horror, Thriller",7.8,89,133300,$0.09M,A ragtag group of Pennsylvanians barricade themselves in an old farmhouse to remain safe from a horde of flesh-eating ghouls that are ravaging the East Coast of the United States.
597,Paprika,2006,90 ,"Animation, Drama, Fantasy",7.7,81,87828,$0.88M,"When a machine that allows therapists to enter their patients' dreams is stolen, all hell breaks loose. Only a young female therapist, Paprika, can stop it."
598,The Last Emperor,1987,163 ,"Biography, Drama, History",7.7,76,107283,$43.98M,"Bernardo Bertolucci's Oscar-winning dramatisation of the life story of China's last emperor, Pu Yi."
599,High Noon,1952,85 ,"Drama, Thriller, Western",8.0,89,106968,$9.45M,"A town Marshal, despite the disagreements of his newlywed bride and the townspeople around him, must face a gang of deadly killers alone at ""high noon"" when the gang leader, an outlaw he ""sent up"" years ago, arrives on the noon train."
600,The Wild Bunch,1969,135 ,"Action, Adventure, Drama",7.9,98,87455,$12.06M,"An aging group of outlaws look for one last big score as the ""traditional"" American West is disappearing around them."
601,Cinderella Man,2005,144 ,"Biography, Drama, Romance",8.0,69,192433,$61.65M,"The story of James J. Braddock, a supposedly washed-up boxer who came back to challenge for the heavyweight championship of the world."
602,"South Park: Bigger, Longer & Uncut",1999,81 ,"Animation, Comedy, Fantasy",7.7,73,209805,$52.04M,"When Stan Marsh and his friends go see an R-rated movie, they start cursing and their parents think that Canada is to blame."
603,8½,1963,138 ,Drama,8.0,93,121188,$0.05M,A harried movie director retreats into his memories and fantasies.
604,Fantastic Planet,1973,72 ,"Animation, Sci-Fi",7.7,73,33943,$0.19M,"On a faraway planet where blue giants rule, oppressed humanoids rebel against their machine-like leaders."
605,October Sky,1999,108 ,"Biography, Drama, Family",7.8,71,94593,$32.48M,"The true story of Homer Hickam, a coal miner's son who was inspired by the first Sputnik launch to take up rocketry against his father's wishes."
606,Winter Sleep,2014,196 ,Drama,8.1,88,53200,$0.17M,A hotel owner and landlord in a remote Turkish village deals with conflicts within his family and a tenant behind on his rent.
607,Judgment at Nuremberg,1961,179 ,"Drama, War",8.3,60,80013,#135,"In 1948, an American court in occupied Germany tries four Nazis judged for war crimes."
608,Letters from Iwo Jima,2006,141 ,"Action, Adventure, Drama",7.9,89,166329,$13.76M,"The story of the battle of Iwo Jima between the United States and Imperial Japan during World War II, as told from the perspective of the Japanese who fought it."
609,From Here to Eternity,1953,118 ,"Drama, Romance, War",7.6,85,48884,$30.50M,"At a U.S. Army base in 1941 Hawaii, a private is cruelly punished for not boxing on his unit's team, while his commanding officer's wife and top aide begin a tentative affair."
610,Ed Wood,1994,127 ,"Biography, Comedy, Drama",7.8,70,179808,$5.89M,Ambitious but troubled movie director Edward D. Wood Jr. tries his best to fulfill his dreams despite his lack of talent.
611,Notorious,1946,102 ,"Drama, Film-Noir, Romance",7.9,100,103695,$10.46M,The daughter of a convicted Nazi spy is asked by American agents to gather information on a ring of Nazi scientists in South America. How far will she have to go to ingratiate herself with them?
612,All Quiet on the Western Front,1930,152 ,"Drama, War",8.1,91,65508,$3.27M,"A German youth eagerly enters World War I, but his enthusiasm wanes as he gets a firsthand view of the horror."
613,Wings of Desire,1987,128 ,"Drama, Fantasy, Romance",8.0,79,73474,$3.33M,"An angel tires of his purely ethereal life of merely overseeing the human activity of Berlin's residents, and longs for the tangible joys of physical existence when he falls in love with a mortal."
614,Mississippi Burning,1988,128 ,"Crime, Drama, Mystery",7.8,65,104364,$34.60M,Two F.B.I. Agents with wildly different styles arrive in Mississippi to investigate the disappearance of some civil rights activists.
615,Ikiru,1952,143 ,Drama,8.3,92,81880,$0.06M,A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.
616,Nausicaä of the Valley of the Wind,1984,117 ,"Animation, Adventure, Sci-Fi",8.0,86,174130,$0.50M,Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.
617,East of Eden,1955,118 ,Drama,7.8,72,47132,,"Two brothers in 1910s California struggle to maintain their strict, Bible-toting father's favor as an old secret about their long-absent mother comes to light."
618,Rebecca,1940,130 ,"Drama, Film-Noir, Mystery",8.1,86,140868,$4.36M,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.
619,La Dolce Vita,1960,174 ,"Comedy, Drama",8.0,95,75547,$19.52M,A series of stories following a week in the life of a philandering tabloid journalist living in Rome.
620,The Wind Rises,2013,126 ,"Animation, Biography, Drama",7.7,83,90550,$5.21M,"A look at the life of Jiro Horikoshi, the man who designed Japanese fighter planes during World War II."
621,The Celebration,1998,105 ,Drama,8.1,82,90098,$1.65M,"At Helge's 60th birthday party, some unpleasant family truths are revealed."
622,50/50,2011,100 ,"Comedy, Drama, Romance",7.6,72,336133,$35.01M,"Inspired by a true story, a comedy centered on a 27-year-old guy who learns of his cancer diagnosis and his subsequent struggle to beat the disease."
623,Changeling,2008,141 ,"Biography, Crime, Drama",7.8,63,259977,$35.74M,Grief-stricken mother Christine Collins takes on the L.A.P.D. to her own detriment when they try to pass off an obvious impostor as her missing child.
624,The Third Man,1949,93 ,"Film-Noir, Mystery, Thriller",8.1,97,175445,$0.45M,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime."
625,My Fair Lady,1964,170 ,"Drama, Family, Musical",7.8,95,98481,$72.00M,"In 1910s London, snobbish phonetics professor Henry Higgins agrees to a wager that he can make crude flower girl, Eliza Doolittle, presentable in high society."
626,The Great Dictator,1940,125 ,"Comedy, Drama, War",8.4,0,228853,$0.29M,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.
627,The Last King of Scotland,2006,123 ,"Biography, Drama, History",7.6,74,190786,$17.61M,Based on the events of the brutal Ugandan dictator Idi Amin's regime as seen by his personal physician during the 1970s.
628,The Quiet Man,1952,129 ,"Comedy, Drama, Romance",7.7,85,40502,$10.55M,"A retired American boxer returns to the village of his birth in 1920s Ireland, where he falls for a spirited redhead whose brother is contemptuous of their union."
629,The Best Years of Our Lives,1946,170 ,"Drama, Romance, War",8.1,93,67140,$23.65M,"Three World War II veterans, two of them traumatized or disabled, return home to the American midwest to discover that they and their families have been irreparably changed."
