,Movie Name,Year of Release,Runtime,Genre,Movie Rating,Metascore of Movie,Votes,Gross,Description
51,Harry Potter and the Goblet of Fire,2005,157 ,"Adventure, Family, Fantasy",7.7,81,647374,$290.01M,"Harry Potter finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares."
52,Se7en,1995,127 ,"Crime, Drama, Mystery",8.6,65,1698927,$100.13M,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
53,Apocalypse Now,1979,147 ,"Drama, Mystery, War",8.4,94,682540,$83.47M,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.
54,The Matrix,1999,136 ,"Action, Sci-Fi",8.7,73,1959114,$171.48M,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence."
55,All Quiet on the Western Front,2022,148 ,"Action, Drama, War",7.8,76,206403,,A young German soldier's terrifying experiences and distress on the western front during World War I.
56,Schindler's List,1993,195 ,"Biography, Drama, History",9.0,95,1385927,$96.90M,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
57,The Silence of the Lambs,1991,118 ,"Crime, Drama, Thriller",8.6,86,1468484,$130.74M,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."
58,Black Swan,2010,108 ,"Drama, Thriller",8.0,79,789210,$106.95M,"Nina is a talented but unstable ballerina on the verge of stardom. Pushed to the breaking point by her artistic director and a seductive rival, Nina's grip on reality slips, plunging her into a waking nightmare."
59,Alien,1979,117 ,"Horror, Sci-Fi",8.5,89,903871,$78.90M,The crew of a commercial spacecraft encounter a deadly lifeform after investigating an unknown transmission.
60,The Godfather Part II,1974,202 ,"Crime, Drama",9.0,90,1301759,$57.30M,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate."
61,Pride & Prejudice,2005,129 ,"Drama, Romance",7.8,82,308331,$38.41M,"Sparks fly when spirited Elizabeth Bennet meets single, rich, and proud Mr. Darcy. But Mr. Darcy reluctantly finds himself falling in love with a woman beneath his class. Can each overcome their own pride and prejudice?"
62,Prisoners,2013,153 ,"Crime, Drama, Mystery",8.1,70,746666,$61.00M,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts."
